ROIid;ROIabbr;ROIname;ROIcolor;中文名称;是否属于小脑
1;lPreCG;Left Precentral gyrus;203 142 203;左侧中央前回;否
2;rPreCG;Right Precentral gyrus;203 142 203;右侧中央前回;否
3;lSFG;Left Superior frontal gyrus-dorsolateral;0 117 115;左侧背外侧额上回;否
4;rSFG;Right Superior frontal gyrus-dorsolateral;0 117 115;右侧背外侧额上回;否
5;lMFG;Left Middle frontal gyrus;191 23 23;左侧额中回;否
6;rMFG;Right Middle frontal gyrus;191 23 23;右侧额中回;否
7;lIFGoperc;Left Inferior frontal gyrus-opercular part;198 198 2;左侧岛盖部额下回;否
8;rIFGoperc;Right Inferior frontal gyrus-opercular part;198 198 2;右侧岛盖部额下回;否
9;lIFGtriang;Left Inferior frontal gyrus-triangular part;149 203 203;左侧三角部额下回;否
10;rIFGtriang;Right Inferior frontal gyrus-triangular part;149 203 203;右侧三角部额下回;否
11;lIFGorb;Left IFG pars orbitalis;102 102 102;左侧眶部额下回;否
12;rIFGorb;Right IFG pars orbitalis;102 102 102;右侧眶部额下回;否
13;lROL;Left Rolandic operculum;203 203 108;左侧中央沟盖;否
14;rROL;Right Rolandic operculum;203 203 108;右侧中央沟盖;否
15;lSMA;Left Supplementary motor area;152 69 47;左侧辅助运动区;否
16;rSMA;Right Supplementary motor area;152 69 47;右侧辅助运动区;否
17;lOLF;Left Olfactory cortex;162 81 203;左侧嗅皮质;否
18;rOLF;Right Olfactory cortex;162 81 203;右侧嗅皮质;否
19;lSFGmedial;Left Superior frontal gyrus-medial;0 254 0;左侧内侧额上回;否
20;rSFGmedial;Right Superior frontal gyrus-medial;0 254 0;右侧内侧额上回;否
21;lPFCventmed;Left Superior frontal gyrus-medial orbital;203 203 3;左侧眶内额上回;否
22;rPFCventmed;Right Superior frontal gyrus-medial orbital;203 203 3;右侧眶内额上回;否
23;lREC;Left Gyrus rectus;76 47 127;左侧直回;否
24;rREC;Right Gyrus rectus;76 47 127;右侧直回;否
25;lOFCmed;Left Medial orbital gyrus;54 54 203;左侧内侧眶回;否
26;rOFCmed;Right Medial orbital gyrus;54 54 203;右侧内侧眶回;否
27;lOFCant;Left Anterior orbital gyrus;0 203 0;左侧前眶回;否
28;rOFCant;Right Anterior orbital gyrus;0 203 0;右侧前眶回;否
