ROIid;ROIabbr;ROIname;ROIcolor;中文名称;是否属于小脑
1;lPreCG;Left Precentral gyrus;203 142 203;左中央前回;否
2;rPreCG;Right Precentral gyrus;203 142 203;右中央前回;否
3;lSFG;Left Superior frontal gyrus-dorsolateral;0 117 115;左上额回-背外侧;否
4;rSFG;Right Superior frontal gyrus-dorsolateral;0 117 115;右上额回-背外侧;否
5;lMFG;Left Middle frontal gyrus;191 23 23;左中额回;否
6;rMFG;Right Middle frontal gyrus;191 23 23;右中额回;否
7;lIFGoperc;Left Inferior frontal gyrus-opercular part;198 198 2;左下额回-操作部;否
8;rIFGoperc;Right Inferior frontal gyrus-opercular part;198 198 2;右下额回-操作部;否
9;lIFGtriang;Left Inferior frontal gyrus-triangular part;149 203 203;左下额回-三角部;否
10;rIFGtriang;Right Inferior frontal gyrus-triangular part;149 203 203;右下额回-三角部;否
11;lIFGorb;Left IFG pars orbitalis;102 102 102;左下额回-眶部;否
12;rIFGorb;Right IFG pars orbitalis;102 102 102;右下额回-眶部;否
13;lROL;Left Rolandic operculum;203 203 108;左罗兰氏操作区;否
14;rROL;Right Rolandic operculum;203 203 108;右罗兰氏操作区;否
15;lSMA;Left Supplementary motor area;152 69 47;左补充运动区;否
16;rSMA;Right Supplementary motor area;152 69 47;右补充运动区;否
17;lOLF;Left Olfactory cortex;162 81 203;左嗅觉皮层;否
18;rOLF;Right Olfactory cortex;162 81 203;右嗅觉皮层;否
19;lSFGmedial;Left Superior frontal gyrus-medial;0 254 0;左上额回-内侧;否
20;rSFGmedial;Right Superior frontal gyrus-medial;0 254 0;右上额回-内侧;否
21;lPFCventmed;Left Superior frontal gyrus-medial orbital;203 203 3;左额前区-内侧眶部;否
22;rPFCventmed;Right Superior frontal gyrus-medial orbital;203 203 3;右额前区-内侧眶部;否
23;lREC;Left Gyrus rectus;76 47 127;左直回;否
24;rREC;Right Gyrus rectus;76 47 127;右直回;否
25;lOFCmed;Left Medial orbital gyrus;54 54 203;左内侧眶回;否
26;rOFCmed;Right Medial orbital gyrus;54 54 203;右内侧眶回;否
27;lOFCant;Left Anterior orbital gyrus;0 203 0;左前眶回;否
28;rOFCant;Right Anterior orbital gyrus;0 203 0;右前眶回;否
29;lOFCpost;Left Posterior orbital gyrus;162 0 54;左后眶回;否
30;rOFCpost;Right Posterior orbital gyrus;162 0 54;右后眶回;否
31;lOFClat;Left Lateral orbital gyrus;254 254 4;左外侧眶回;否
32;rOFClat;Right Lateral orbital gyrus;254 254 4;右外侧眶回;否
33;lINS;Left Insula;184 148 39;左岛叶;否
34;rINS;Right Insula;184 148 39;右岛叶;否
35;lACC;Left Anterior cingulate & paracingulate gyri;0 203 203;左前扣带回及旁扣带回;否
36;rACC;Right Anterior cingulate & paracingulate gyri;0 203 203;右前扣带回及旁扣带回;否
37;lMCC;Left Middle cingulate & paracingulate gyri;128 102 0;左中扣带回及旁扣带回;否
38;rMCC;Right Middle cingulate & paracingulate gyri;128 102 0;右中扣带回及旁扣带回;否
39;lPCC;Left Posterior cingulate gyrus;0 203 0;左后扣带回;否
40;rPCC;Right Posterior cingulate gyrus;0 203 0;右后扣带回;否
41;lHIP;Left Hippocampus;203 142 203;左海马体;否
42;rHIP;Right Hippocampus;203 142 203;右海马体;否
43;lPHG;Left Parahippocampal gyrus;162 54 13;左海马旁回;否
44;rPHG;Right Parahippocampal gyrus;162 54 13;右海马旁回;否
45;lAMYG;Left Amygdala;203 203 3;左杏仁核;否
46;rAMYG;Right Amygdala;203 203 3;右杏仁核;否
47;lCAL;Left Calcarine fissure and surrounding cortex;162 0 56;左扣带沟及周围皮层;否
48;rCAL;Right Calcarine fissure and surrounding cortex;162 0 56;右扣带沟及周围皮层;否
49;lCUN;Left Cuneus;203 102 0;左楔叶;否
50;rCUN;Right Cuneus;203 102 0;右楔叶;否
51;lLING;Left Lingual gyrus;0 200 203;左舌回;否
52;rLING;Right Lingual gyrus;0 200 203;右舌回;否
53;lSOG;Left Superior occipital gyrus;94 0 26;左上枕回;否
54;rSOG;Right Superior occipital gyrus;94 0 26;右上枕回;否
55;lMOG;Left Middle occipital gyrus;204 204 204;左中枕回;否
56;rMOG;Right Middle occipital gyrus;204 204 204;右中枕回;否
57;lIOG;Left Inferior occipital gyrus;72 72 200;左下枕回;否
58;rIOG;Right Inferior occipital gyrus;72 72 200;右下枕回;否
59;lFFG;Left Fusiform gyrus;81 0 176;左梭状回;否
60;rFFG;Right Fusiform gyrus;81 0 176;右梭状回;否
61;lPoCG;Left Postcentral gyrus;162 0 54;左中央后回;否
62;rPoCG;Right Postcentral gyrus;162 0 54;右中央后回;否
63;lSPG;Left Superior parietal gyrus;134 53 0;左上顶回;否
64;rSPG;Right Superior parietal gyrus;134 53 0;右上顶回;否
65;lIPG;Left Inferior parietal gyrus-excluding supramarginal and angular gyri;122 203 67;左下顶回-不包括上缘回与角回;否
66;rIPG;Right Inferior parietal gyrus-excluding supramarginal and angular gyri;122 203 67;右下顶回-不包括上缘回与角回;否
67;lSMG;Left SupraMarginal gyrus;94 69 54;左上缘回;否
68;rSMG;Right SupraMarginal gyrus;94 69 54;右上缘回;否
69;lANG;Left Angular gyrus;0 135 203;左角回;否
70;rANG;Right Angular gyrus;0 135 203;右角回;否
71;lPCUN;Left Precuneus;13 176 67;左前扣带回;否
72;rPCUN;Right Precuneus;13 176 67;右前扣带回;否
73;lPCL;Left Paracentral lobule;0 200 0;左中央旁小叶;否
74;rPCL;Right Paracentral lobule;0 200 0;右中央旁小叶;否
75;lCAU;Left Caudate nucleus;108 0 162;左尾状核;否
76;rCAU;Right Caudate nucleus;108 0 162;右尾状核;否
77;lPUT;Left Lenticular nucleus-Putamen;61 61 203;左豆状核-壳核;否
78;rPUT;Right Lenticular nucleus-Putamen;61 61 203;右豆状核-壳核;否
79;lPAL;Left Lenticular nucleus-Pallidum;203 203 0;左豆状核-苍白球;否
80;rPAL;Right Lenticular nucleus-Pallidum;203 203 0;右豆状核-苍白球;否
